 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=128.7.144.68,nw_dst=10.0.0.1,tp_src=28325,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=229.174.189.141,nw_dst=10.0.0.1,tp_src=28327,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=151.69.31.97,nw_dst=10.0.0.1,tp_src=28326,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=61.61.60.37,nw_dst=10.0.0.1,tp_src=28328,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.449s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=233.47.130.124,nw_dst=10.0.0.1,tp_src=28329,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.451s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=54.49.183.49,nw_dst=10.0.0.1,tp_src=28330,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=175.174.78.90,nw_dst=10.0.0.1,tp_src=28331,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=87.144.180.135,nw_dst=10.0.0.1,tp_src=28332,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=168.69.189.28,nw_dst=10.0.0.1,tp_src=28333,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=84.170.145.48,nw_dst=10.0.0.1,tp_src=28334,tp_dst=0 actions=output:1
 cookie=0x0, duration=8.428s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1,tcp,in_port=2,dl_src=1e:57:af:29:d3:50,dl_dst=f2:87:b2:12:a4:22,nw_src=28.211.86.92,nw_dst=10.0.0.1,tp_src=28335,tp_dst=0 actions=output:1
